"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"1","005930","삼성전자",81500,300,0.37,"KOSPI","전기전자",486537277825000,3166,25.74,37528,2.17,1416,1.74
"2","000660","SK하이닉스",135000,2000,1.5,"KOSPI","전기전자",98280319275000,2943,45.87,65836,2.05,1000,0.74
"3","035420","NAVER",383000,3000,0.79,"KOSPI","서비스업",62912880285000,4006,95.61,35223,10.87,376,0.1
"4","051910","LG화학",802000,14000,1.78,"KOSPI","화학",56615059086000,4085,196.33,217230,3.69,2000,0.25
"5","207940","삼성바이오로직스",725000,7000,0.97,"KOSPI","의약품",4.7969625e+13,3067,236.39,65812,11.02,0,0
"6","005380","현대차",215500,-2500,-1.15,"KOSPI","운수장비",46045494298500,11310,19.05,253001,0.85,4000,1.86
"7","006400","삼성SDI",647000,12000,1.89,"KOSPI","전기전자",44490650910000,5331,121.37,175114,3.69,1000,0.15
"8","035720","카카오",495000,10000,2.06,"KOSPI","서비스업",43929622440000,NA,NA,60603,8.17,127,0.03
"9","068270","셀트리온",314000,6500,2.11,"KOSPI","의약품",42398707534000,2196,142.99,20421,15.38,0,0
"10","000270","기아차",80600,-700,-0.86,"KOSPI","운수장비",32672285768200,4556,17.69,71487,1.13,1150,1.43
"11","005490","POSCO",318000,9500,3.08,"KOSPI","철강금속",27725413530000,22823,13.93,510076,0.62,10000,3.14
"12","012330","현대모비스",283500,-1000,-0.35,"KOSPI","운수장비",26873842149000,24234,11.7,339207,0.84,4000,1.41
"13","051900","LG생활건강",1524000,-21000,-1.36,"KOSPI","화학",23802132228000,46431,32.82,234042,6.51,11000,0.72
"14","066570","LG전자",143000,-5000,-3.38,"KOSPI","전기전자",23401637402000,169,846.15,79245,1.8,750,0.52
"15","028260","삼성물산",123000,-500,-0.4,"KOSPI","유통업",22987110963000,6366,19.32,125948,0.98,2000,1.63
"16","017670","SK텔레콤",274000,20500,8.09,"KOSPI","통신업",22124324814000,12144,22.56,284310,0.96,10000,3.65
"17","105560","KB금융",53200,600,1.14,"KOSPI","기타금융",22120981344000,8451,6.3,92672,0.57,2210,4.15
"18","091990","셀트리온헬스케어",136000,2500,1.87,"KOSDAQ","유통",20668075312000,427,318.5,10816,12.57,0,0
"19","036570","엔씨소프트",898000,-8000,-0.88,"KOSPI","서비스업",19714711756000,17387,51.65,113836,7.89,5220,0.58
"20","034730","SK",275500,19500,7.62,"KOSPI","기타금융",19384261823500,12917,21.33,235255,1.17,5000,1.81
"21","096770","SK이노베이션",209000,1500,0.72,"KOSPI","화학",19325302876000,NA,NA,186398,1.12,3000,1.44
"22","055550","신한지주",36550,700,1.95,"KOSPI","기타금융",18881713698700,7000,5.22,79682,0.46,1850,5.06
"23","032830","삼성생명",77200,1600,2.12,"KOSPI","보험",1.544e+13,5443,14.18,178335,0.43,2650,3.43
"24","003550","LG",89200,1200,1.36,"KOSPI","기타금융",15392096085200,6143,14.52,107050,0.83,2200,2.47
"25","090430","아모레퍼시픽",258000,-1500,-0.58,"KOSPI","화학",15082290420000,3477,74.2,65050,3.97,1000,0.39
"26","015760","한국전력",23250,150,0.65,"KOSPI","전기가스업",14925664790250,NA,NA,105140,0.22,0,0
"27","018260","삼성에스디에스",186500,2500,1.36,"KOSPI","서비스업",14430959700000,9521,19.59,84595,2.2,2400,1.29
